s,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N
0,0.31227649830595866,0.5172137464184043,2.2505366250151853,1.4952812510689546,2.3011624147862544,-0.3445399532875147,-0.1583807213115441,-0.8986509233839101,0.603275430036686,0.6905136682429183,0.41142299464587906,-0.13711568562390739,1.6233605045127153,0.47449291299398544,1.6643212101402722,-0.6452555969745197,1.1666848138862045,1.6268245619583928,-0.018732232496296287,1.3906149456264372,0.17463154805105416,0.11946708085782225,-0.0587041060441545,2.0646652897609425,1.8538778122056556,1.4904625710623063,0.6752854674516559,1.1420398311022133,0.9993181617660257,-0.0914070257222363,0.8030407440259344,2.0459125130686138,-0.6173386793182569,0.09288127353114986,-0.8960956704655813,0.5404509097762626,-0.0822455870716336,1.2745611281270308,0.23768968905356022,0.597285879067712,0.438841939438542,0.9554223798374281,-0.6425818566653058,0.03655290285728352,-0.5811086575232535,1.6268908291287605,-0.4557587421993393,0.06064509145767126,-0.5431861764272592,0.39175716157103896,-0.2503114503302953,-0.23615434758553883,0.5072322628071121,-1.0662755333408063,-0.7626360798836042,-0.18598558712101287,-1.236610118829524,-0.4232384717899747,0.17759001462285182,0.6026785129077161,-1.1752248007219759,-1.457889202463538,0.22160739914280406,-0.8666193899468114,-2.137075125262398,-1.1198348171336894,-0.1825664319243617,-1.305402996843855,-1.1945404676306404,0.0,-1.0662755333408063,-0.9524703162869473,-0.2857442950853236,-0.9234735434580926,-1.27145889478378,-1.3924741144824222,1.0659009079901876
1,0.35630203343538963,0.2861031334421231,1.877666180648843,1.418035345135388,1.974021132750576,-0.517406369412012,-0.33405771281625735,-0.9616792272810537,0.4420429872623846,0.35933078047216793,0.431993792872179,-0.2782142700326979,1.3032874322796584,0.1362244606777647,1.1098145370194692,-0.7416443221215155,0.605327778634556,1.0750535456737296,0.035626360225002957,1.196647880367524,0.10100304459265219,-0.13719590433935983,-0.25843830781133303,1.7508905639899834,1.5477040301839866,1.3761009841560332,0.41560618962930035,0.7703968758691209,0.7230699055240527,-0.39905377462301617,0.4273809773564247,1.780175858647453,-0.7144377458698019,-0.44148785517784617,-1.013758097326724,0.02182274880002633,-0.39867315717737517,0.8393685592020056,-0.2293466153635094,0.17715272457430195,0.11353285967174254,0.5339834433344512,-0.7562237275211714,0.034361753806504323,-0.5528062177325074,1.7412432736542882,-0.46203863586326066,0.04351152813162447,-0.543595642055512,0.3011900850100397,-0.24324807469574133,-0.2666900160402817,0.279698587018871,-1.04616693485894,-0.39874878801783553,-0.12008826155301076,-1.1049057846117758,-0.20069605696886816,0.4652216236385853,0.5759234803431685,-0.8558038627998849,-1.1214235081402149,0.4975065445483633,-0.907006103664586,-2.0743470604296843,-1.3221181194770932,0.005344243064139712,-0.9067247220378346,-1.3967750223848872,0.0,-1.04616693485894,-1.121036739631936,-0.0676451009726101,-0.9707996682954905,-1.1894195813880315,-1.3396061317054822,1.280291183929139
2,0.33450032628561815,0.4498385283981105,2.010129953431095,1.1232970981747457,1.906495065569033,-0.5804903562673128,-0.22657570740470537,-0.9684872023819899,0.5425801872814361,0.2842040971244733,0.38083369090185354,-0.4278663473974533,1.2078250615264179,0.14470820422263359,1.50806128912168,-0.6624103312404541,0.6278655509445714,1.0230285330835698,0.3724448008588977,1.0370416349642009,0.09861141204114024,0.09043326170555212,-0.24989990351859204,1.764291167001349,1.6796435228688844,1.3433752928277267,0.5303031396892228,0.9488839580794326,0.7615717587409514,-0.2674314210860388,0.300583021008337,1.8312707743925116,-0.709385334662918,-0.41941372323238807,-1.0135668107231677,-0.016471726104121284,-0.4133678759362481,0.5796544223238791,-0.13977377889195003,0.10770830149830858,-0.0503693441283542,0.4251159012990312,-0.8829545597619616,0.11295329088598692,-0.5033077629487248,2.0481017396624086,-0.315189555063253,0.2528367298119427,-0.3140187588023726,0.2272837504286024,-0.16750581966408665,-0.5625620622859865,0.5965369445363131,-0.9262709222063392,-0.7400083381886565,-0.20424585257951516,-1.1297643661774932,-0.23655385960135603,0.6586337188839186,0.59111863449616,-0.20576036509248674,-1.1977264848773945,0.46449403183432886,-0.8589273372761069,-2.138655272336083,-1.3972504055913395,-0.02183064914080954,-1.1386113338522659,-1.3349162469145348,0.0,-0.9262709222063392,-1.0412134644914133,-0.15505913639722835,-0.972326146873254,-1.2325359580953696,-1.4060742011173748,1.8570383108077955
3,0.06538326791414488,-0.00010268814799719069,0.8010083124305571,0.4888004153538527,1.2175508763342795,-0.24707969315860775,-0.19918374875737774,-1.0697068499364693,-0.1709978182437355,0.35656514459231603,0.10827990459979175,-0.3229160043418992,1.1328332338002804,0.8408529811899786,0.42045297307084156,-1.0995807602696386,0.01805861002062286,1.2613612672061123,0.5225443726517245,0.35696343250077645,0.03291969988268676,-0.007388590049337281,-0.03955862521203948,0.3363159726559034,0.7589196822387868,1.0100911604080818,0.5280078284060558,0.15659322783952578,0.34207452575411057,-0.22069288630357425,0.09496506659036888,0.8119944064527641,-0.7064859215026777,-0.35514999269471775,-0.9545283832108931,-0.09859529615685761,-0.3821119579290514,0.2955898755362341,-0.19813957353721404,0.15359817160605557,0.23420237414894557,0.3575004425601966,0.026001070614808292,-0.6595131995521345,-1.0586078922065565,1.1896170150413186,-0.1629554454784108,0.1056583197392741,-1.0085129078859298,0.003718401045690035,-0.3060266473155029,-0.016278131192435423,0.319738584633282,-1.2850194979246057,-1.0503175509469451,-0.7024366229571352,-1.2653267883701298,-0.2608063258189684,0.3755633291374905,0.6887371882777846,-1.1747566064567574,-1.3390509001320166,-0.2569319681217008,-1.0933074634560485,-1.654497057290695,-1.43542288915454,-0.16431776645435958,-1.1928871785636055,-0.851405395097442,0.0,-1.2850194979246057,-0.8297870313683208,-0.8189891969145497,-0.6603403264183347,-0.8838110105492971,-1.0551343664338595,1.1444898958282044
4,0.0366307779215081,0.0013034963709451395,0.8045718116756415,0.19737691665536608,0.937896303810304,-0.482087651051475,-0.30409268026758784,-1.0838328776146176,-0.6267985186909059,0.16188150019457553,0.01464881427150676,-0.5109182140508353,0.872645610366458,0.06352276747748548,0.3315901534284854,-1.165050221072461,-0.30267087137824,1.0141266537029143,0.6087590080562327,0.04362914598004619,-0.050802743131469964,-0.15375797339253,-0.21458690265572372,0.4507817913933306,0.6459144263896472,0.7655134262417785,0.26739861559207073,0.021391582073152265,0.07882386050641597,-0.48318195677148174,-0.10235710381759143,0.7117872605548371,-0.7613411404038538,-0.6676586999462437,-1.141714190565192,-0.5481720761076477,-0.48058701029346745,-0.12075001127441247,-0.5954215304435404,-0.08800082023319472,-0.06661761504219645,0.0072792094275413236,-0.0065873590102435865,-0.7130412261530193,-1.012998336905313,1.269870907912197,-0.10514381336601653,0.11763795527870034,-0.8726419181026528,0.02648083089817086,-0.27983553542281336,-0.18645288935852325,0.4737386163360656,-1.172895457499042,-0.9622074376147249,-0.5456393365256519,-1.067754144203693,-0.36601195961524047,0.9657914347444615,0.5325296252250032,-0.5623320991561563,-1.3167206808278176,-0.05448203592547512,-0.8892954449059434,-1.669362403878312,-1.3919052719551628,0.3171940203264177,-0.7272417243087429,-0.9471761326127666,0.0,-1.172895457499042,-0.8536035192693359,-0.17950247784473908,-0.8611819793582308,-1.0603703594516838,-1.0284790776731774,1.5835303897992397
5,0.08704736412272816,0.04402716127074985,0.9785153882774896,0.2554358421037049,1.0332752481638487,-0.3506014947986941,-0.2076648036693088,-1.078218083520207,-0.5337855357668836,0.029390700279392275,0.05920769640968101,-0.45581735339196605,0.8801326752465638,-0.177630836179362,0.28247661534209073,-1.09418805880893,-0.08765673486248168,0.9198043781266374,0.7960882500344508,-0.07720746344816304,-0.0421386186820166,-0.1181972943024013,-0.028952193638886632,0.1610421211266406,0.73877918024099,1.1253640441033879,0.2713881196333042,0.2741248417678844,0.09287279549409981,-0.4103462609382397,-0.22505949508405226,0.7360630171524849,-0.7667898605482416,-0.732820520000447,-1.3337449765451388,-0.6914682759631489,-0.4521188642754453,-0.22629272642694695,-0.5784923528027722,-0.15668565559398964,-0.23422979285987566,-0.085955163341103,-0.07621507346840985,-0.6403000157179449,-0.9459584498778778,1.3255591257318549,-0.12450107517681135,-0.11767881866186496,-0.7050583245953636,-0.2045918035378416,-0.22021755452079111,-0.5030407484810847,0.24002946445320558,-1.0542897863514806,-1.1227613752644439,-0.2591856779062542,-1.159421234721701,-0.4268430920323407,0.4301333758576385,0.36816417281042346,-0.5946298833052921,-1.5596359377269975,-0.16357981093986962,-0.911214612661075,-1.6211907236513168,-1.8391495796754926,-0.053966773288412644,-1.2495699107030631,-0.8922592510833736,0.0,-1.0542897863514806,-0.9059381426964448,-0.09397201727171195,-0.8919082012941378,-1.0491743567423684,-1.1402225616690458,1.5098926547534506
6,0.008916971894654055,-0.17257331781127577,0.4785355062662367,0.1064571692887025,0.6746205403999878,-0.19212363436115754,0.07981350488203286,-1.1777639163899298,-0.5153252336409543,0.39288555655062385,-0.10431635630740449,-0.2666036676752594,1.0191278709731584,0.05683217911376548,0.15661820588039418,-1.2853276929016832,-0.24814437683023616,1.0117882334068093,0.8198854045576018,-0.2834311540259238,0.08072051364539647,-0.07327537346017671,0.21074965433324921,-0.19547249583209905,0.19159786815871183,0.7833351283307317,0.5851126127187003,0.08408855930922489,-0.0005137103570683503,-0.2223886597202999,0.012335056832247502,0.3266360395848504,-0.7033801845037392,-0.38035806550314183,-0.9120773457382906,-0.01229141802170787,-0.26428184807500144,0.009279395193523915,-0.23469216401264373,0.05100831923984483,0.2501004816193479,0.028025402717014567,0.45254355659455764,-1.2127969294011753,-1.394256604210349,0.8198394908044908,0.11630884387102558,-0.006412550455045885,-1.1819204695263363,-0.4567107963737809,-0.37051406360610906,-0.5274375525630637,0.12240622220678464,-1.6599129347539652,-0.9088310339143606,-1.1820047458227865,-1.3701546208070692,-0.46392239363200366,0.07653827916427423,0.6798873279426749,-1.3633296162793163,-1.7756128639429665,-0.8449654507662229,-1.4689798040849493,-1.7722308773393807,-1.213260038967314,-0.5355280998293109,-1.5553210577103935,-0.5456721174228847,0.0,-1.6599129347539652,-0.8205007972407943,-0.599077721631864,-0.5453989453264811,-0.6550604807502928,-0.8641114300454644,0.6016167776492234
7,-0.035657755225028176,-0.21097996506783662,0.17451955772292113,-0.10697374708539177,0.4554688889484914,-0.4405594402771517,-0.0805838324593947,-1.1811846079677566,-0.6990840301159851,-0.008745008022498604,-0.12988357659403574,-0.5868550531041375,0.7840423076900427,-0.4027463419994141,-0.060809129606614686,-1.3219661864320014,-0.5637870571946246,0.6887989099547879,0.700918194031787,-0.4252430061236418,-0.08229730000292154,-0.05041242524636184,-0.3283625483489071,-0.2860439448234692,0.11594578002119663,0.5888023926025638,0.2647210131127655,-0.18103713196240992,-0.13730753268943977,-0.3152099695484826,-0.47997225704303964,0.30909711999150397,-0.7647730281763102,-0.6906818549555844,-1.0366824723675645,-0.5218491363498798,-0.5982323546598955,-0.45126492026293125,-0.6294044086761699,-0.2983702182161227,-0.3193156490807125,-0.3812042774114924,0.29431830229036277,-1.1348637649437645,-1.511801188205976,0.6937217743897351,0.15424733526210618,-0.10467444104621199,-1.0235949804242501,-0.1254301539734318,-0.345946114839281,-0.38005527939747924,0.18931481247697937,-1.5436127513147795,-1.0826456274639091,-0.9059922753232755,-1.3179740327748588,-0.3543168082116303,0.716511429622878,0.2928738607885941,-0.9291636288129012,-1.661321608823292,-0.6542775607115239,-1.045255805300998,-1.7790098959494431,-1.7044743388613584,-0.05092282553519319,-1.2118925506053664,-0.5725572585154646,0.0,-1.5436127513147795,-0.7535545810079988,-0.9569282542785384,-0.7787472851688774,-0.6815531629095485,-0.8296788927517088,0.9933595250444143
8,-0.1584748843181442,-0.3127898783151183,-0.027713962625699657,-0.4941757810173846,0.23590008421961706,-0.6234873588186255,-0.520468627888791,-1.2943276272515853,-0.9790488691725819,-0.357393728288034,-0.2006409082449222,-0.8957748715846862,0.36519339582827665,-0.7028023409916864,-0.6577050579648808,-1.4259407706194558,-0.8136126707879846,0.6161959665482233,0.3244906843811205,-0.6406168908395852,-0.24020084453176804,-0.6587423960991176,-0.3832976600815685,-0.4902878834820247,-0.06108126234898295,0.3246734389962028,-0.33113907504260515,-0.49148986837788805,-0.4768907731324244,-0.5073641415222129,-0.8764530201890401,-0.016850092933135646,-0.8325194557989478,-1.1301689956978083,-1.353440818711383,-0.9980941483425414,-0.9971396302677699,-0.7192782190863488,-0.9678737492857936,-0.7148022815275411,-0.6745856381188204,-0.9070735904844877,0.17436802733921902,-1.0572497980017082,-1.3447053239693836,0.32443945711960875,0.17062306436948685,0.054165425189013676,-0.9835228459301437,-0.24756234720857526,-0.31120572582295214,-0.5639104594290147,-0.04169687308202251,-1.147578400752874,-1.2414721800680222,-0.8393667730099063,-1.2543880753701537,-0.3092202336359791,0.34431357989496275,0.2246370383143116,-0.870220042283744,-1.8419610814855143,-0.5812895988388936,-1.087396028056323,-1.9038576712699824,-1.6850782092425014,-0.17592771156904236,-1.3907816692839292,-0.6207820473732705,0.0,-1.147578400752874,-1.0717762704212248,-0.15641031280509624,-0.7484770226165915,-0.753395895152038,-0.8508359489390133,1.567343942176813
9,-0.18047505389588217,-0.46837963830084384,0.8787197636159615,-0.5790388606576933,-0.26305929199041866,-0.13262624940131842,0.2310948523118186,-1.4052937327638548,-0.7516018238780721,-0.030755002905376472,-0.2619293669094047,0.2042505018826736,0.964822666664948,0.18899384918803264,-0.6981448741557735,-1.504503337102426,-0.7633330537066221,0.535579174941856,0.7531320775633873,-0.8769528209504274,-0.19927084229439387,0.5498553732236625,0.6788796821786462,-0.7962530658841096,-0.4663377573246489,0.30915642201168364,0.47440640618049673,0.6996392696361774,-0.46741213324203806,0.21164947613336169,-0.39880172605195247,-0.5134897944036595,-0.6014487448558604,-0.2896090889440628,-0.23486931153748172,-0.13864027057665126,-0.31830559000823994,-0.17832394158014353,-0.3894918645449252,0.024334680146765517,0.3733348505006624,0.11045663974701507,0.712864511137743,-1.4007245604773453,-1.7665729965130574,0.7447801671929873,0.380503674242385,0.25123884732721585,-1.3062662076836262,-0.736884964642023,-0.38344919663414145,-0.011817266576892997,-0.43674974399548633,-1.977626015688787,-2.126925001330508,-1.2313845801597147,-1.3469271111963452,0.42976569979448254,0.06580868247799178,0.8036595191342517,-1.418901804193381,-1.5481749735182633,-1.0470209255351137,-1.6373034892151475,-0.8231705504113651,-1.5501258846499542,-0.48130835994174914,-1.2822206961871099,0.872773780024133,0.0,-1.977626015688787,-0.593127763000558,-0.47107222045358976,-0.39542529691472944,0.1415069029174717,-0.23622972665118483,0.5649508364814898
